40214	0
43767	0
1719	0
35703	0
60552	0
1305	0
40216	0
40215	0
67824	0
28449	0
150055	0
106648	0
253	0
238	0
68892	0
126385	0
29363	0
544580	0
487316	0
76759	0
315405	0
1465	0
781	0
60133	0
1335	0
83555	0
213	0
37637	0
1148157	0
133448	0
1310	0
703	0
198	0
470565	0
72557	0
108981	0
228604	0
2095	0
1559	0
214473	0
113107	0
28133	0
2099	0
29522	0
35790	0
948	0
539	0
425941	0
152500	0
386414	0
38289	0
82348	0
783	0
646	0
45262	0
28126	0
28136	0
206	0
120957	0
280147	0
394935	0
1457153	0
840	0
1267	0
28130	0
340486	0
736	0
2529382	0
419005	0
450	0
1529	0
1778	0
134533	0
407975	0
1993	0
29508	0
52769	0
84024	0
35789	0
37328	0
54910	0
70255	0
95162	0
626930	0
1389935	0
1790	0
28134	0
447	0
33047	0
137732	0
456	0
849	0
945	0
1641	0
34059	0
134034	0
1035	0
29419	0
41986	0
45254	0
123841	0
807	0
29460	0
33989	0
44007	0
57171	0
1776379	0
84025	0
176090	0
2172545	0
1783	0
38288	0
53429	0
83231	0
502790	0
141	0
29520	0
37333	0
55085	0
56946	0
85688	0
123834	0
165758	0
229549	0
242750	0
310514	0
313439	0
684066	0
2838947	0
649	0
1787	0
2122	0
38402	0
92181	0
151414	0
111805	0
231233	0
357761	0
500466	0
589537	0
910939	0
1562651	0
1844474	0
2479840	0
2608404	0
2699889	0
55883	0
205075	0
332615	0
554134	0
1080072	0
1654925	0
1903323	0
1980020	0
2608628	0
84677	0
100053	0
28184	0
29459	0
183417	0
585	0
546	0
57706	0
614	0
1274402	0
55565	1
786	2
42862	2
257758	2
250	2
137838	2
67826	2
1261	2
860	2
1863	2
35818	2
39778	2
758	2
29389	2
28125	2
484	2
103621	2
37372	2
28135	2
84135	2
339268	2
254785	2
359110	2
480035	2
37330	2
280145	2
461393	2
28128	2
267212	2
305719	2
2494702	2
1823	2
72556	2
158484	2
747656	2
1789	2
1326	2
1659	2
29311	2
52227	2
282402	2
1784	2
2074	2
28123	2
70856	2
1498	2
1218315	2
28119	2
52764	2
334545	2
1141657	2
2490633	2
787	2
2121	2
40834	2
78535	2
83557	2
171632	2
229155	2
238800	2
273136	2
388640	2
2133959	2
39777	3
35788	3
102862	4
28183	4
35795	4
33043	4
93064	4
154046	4
170573	4
1343	4
2497436	4
1655	4
36808	4
78331	4
310300	4
839	4
46125	4
483	4
1379	4
735	4
1725	4
28127	4
1848903	4
1542	4
478	4
1780	4
134601	4
2529381	4
652	4
326522	4
28264	4
35794	4
73010	4
52773	4
1305738	4
143	4
33040	4
1318743	4
1324352	4
1674146	4
54914	5
33945	6
28112	6
29484	6
106649	6
2071710	6
38290	6
1177574	6
34105	6
651561	6
29379	6
2497875	6
256	6
361101	6
488446	6
108486	6
197575	6
2061	6
1512	7
1768	7
29507	8
2494701	8
45634	8
785	8
1019	8
488	8
861	8
200	8
123899	8
46124	8
1340	8
1504	8
33045	8
1769	8
2107999	9
803	9
329	9
28080	9
1318	10
37329	10
169292	10
43769	10
225991	10
28129	10
37326	10
482957	10
1824	10
342113	10
38301	10
162426	10
944	10
28172	12
29382	12
726	12
1329	12
69218	12
856	12
158822	12
140	12
1809	12
1766	13
109790	14
674	14
1505	14
45972	14
774	14
198620	14
85991	14
44449	14
504	14
36855	16
1547	16
29466	16
108980	16
83559	16
2047	16
1750	16
2097	16
43770	16
413497	17
859	17
1338	17
1561	17
47678	17
650	18
1774	18
197614	18
28188	18
76860	18
1781	18
165179	18
47885	19
28182	20
782	20
43675	20
52584	20
24	20
61652	22
35793	22
1353	22
529	22
53346	22
1295	22
33033	22
134821	22
408	22
569	23
631	23
539813	24
626774	24
413503	26
480	26
54736	26
28090	28
28132	28
28131	28
38323	28
29494	28
83558	28
730	28
357276	28
53345	29
1499973	30
1302	30
1638	30
1501662	31
38304	31
160	32
1513	32
37734	32
199	32
2702	33
29430	33
784	34
28116	34
985002	34
1574161	34
1292	35
47880	35
1452	36
729	38
1648	38
777	39
676	39
511	41
28037	41
82996	42
29385	42
1348	42
1642	42
621	43
1290	43
651	44
1346	44
1288	45
106654	47
65058	48
853	48
881260	48
714	52
1270	52
1328	52
1596	52
28095	52
95486	54
943	55
174	56
29461	56
1579	59
1363	59
1303	59
196024	60
292	60
588	60
83554	62
672	63
518	64
196	64
13373	66
38293	66
837	68
622	70
139	72
545	74
1304	76
633	78
1283	82
1530123	86
47466	86
630	87
1336	87
1747	87
1599	90
299767	92
587	92
1408	92
549	96
201	98
208224	98
337	104
636	105
1661	112
663	114
648	116
1764	123
173	125
1402	129
61645	133
1812935	133
1717	134
624	135
654	136
564	137
851	138
817	138
35814	141
263	145
1491	146
48296	153
571	156
235	158
208962	160
67780	162
1613	164
644	166
1134687	183
519	184
47715	185
582	189
581	189
548	203
550	204
1358	206
303	216
1428	227
40324	237
1334	247
171	249
780	254
623	257
1392	266
195	278
487	314
670	320
446	326
28450	343
1307	358
1396	359
2104	367
244366	385
584	393
485	416
632	460
615	469
583	482
1311	483
1502	491
1496	495
234	496
620	509
1313	540
813	546
1282	557
747	593
727	633
666	677
1590	726
1314	797
613	805
1423	922
544	990
158836	1029
1773	1046
197	1259
1639	1337
1351	1450
1352	1463
210	1797
520	1854
547	1994
470	2388
287	2776
1280	4325
28901	5052
573	7812
562	11778
